Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,3.129896907216495,0.08317798,0.0016501650165016502,0.0016501650165016502,1.0
20000,1.4189383,3.208087615838248,0.045603886,0.00042140750105351877,0.00042140750105351877,1.0
30000,1.4190996,3.1381878361605295,0.018449318,0.0012412081092263137,0.0012412081092263137,1.0
40000,1.4191017,3.20513900589722,0.018007953,0.001682085786375105,0.001682085786375105,1.0
50000,1.4196441,3.1762740183792815,0.0014751359,0.0008350730688935282,0.0008350730688935282,1.0
60000,1.4196512,3.2391857506361323,0.00029716248,0.000423908435777872,0.000423908435777872,1.0
70000,1.4198921,3.1131221719457014,-0.0049926084,0.0016454134101192926,0.0016454134101192926,1.0
80000,1.419895,3.0887888707037643,-0.0032784208,0.0,0.0,1.0
90000,1.4200338,3.1719532554257097,-0.00014775166,0.00041718815185648727,0.00041718815185648727,1.0
100000,1.4200356,3.097950819672131,-0.0006119436,0.0004098360655737705,0.0004098360655737705,1.0
110000,1.4202325,3.176470588235294,6.809183e-05,0.0012531328320802004,0.0012531328320802004,1.0
120000,1.4202363,3.1690962099125364,1.676942e-05,0.0008333333333333334,0.0008333333333333334,1.0
130000,1.4199944,3.204047217537943,-2.4257499e-05,0.001682085786375105,0.001682085786375105,1.0
140000,1.4199911,3.1810200668896322,0.00036393033,0.002508361204013378,0.002508361204013378,1.0
150000,1.4203432,3.1890422417398576,0.001631633,0.0016743407283382169,0.0016743407283382169,1.0
160000,1.4203478,3.1565362198168194,0.0005472403,0.0024968789013732834,0.0024968789013732834,1.0
170000,1.4214939,3.2674070909867576,0.0014862568,0.0017064846416382253,0.0017064846416382253,1.0
180000,1.4215088,3.229140194832698,0.0015414737,0.0008460236886632825,0.0008460236886632825,1.0
190000,1.4227705,3.144159072079536,0.001225599,0.0012432656444260257,0.0012432656444260257,1.0
200000,1.4227868,3.1856963613550815,0.0012125287,0.002092925910422771,0.002092925910422771,1.0
210000,1.4235407,3.206736842105263,0.0017580012,0.0008410428931875525,0.0008410428931875525,1.0
220000,1.4235555,3.1722846441947565,0.001980768,0.0008333333333333334,0.0008333333333333334,1.0
230000,1.4241378,3.2751390671801457,0.0013500998,0.001284796573875803,0.001284796573875803,1.0
240000,1.4241492,3.1910159529806883,0.0015194501,0.0020946795140343527,0.0020946795140343527,1.0
250000,1.4249028,3.2950749464668094,0.0009991756,0.0008587376556462001,0.0008587376556462001,1.0
260000,1.4249175,3.2165820642978002,0.0010769534,0.0008438818565400844,0.0008438818565400844,1.0
270000,1.425348,3.1952762547448335,0.0016162397,0.0029548332629801602,0.0029548332629801602,1.0
280000,1.4253565,3.282617934551636,0.0014794081,0.000425531914893617,0.000425531914893617,1.0
290000,1.4252231,3.2240576027107157,0.002244509,0.0012674271229404308,0.0012674271229404308,1.0
